transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]], [[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]]]","[0.403166800737381, 0.403166800737381]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]], [[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]]]","[0.403166800737381, 0.403166800737381]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]], [[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]]]","[0.403166800737381, 0.403166800737381]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]], [[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]]]","[0.403166800737381, 0.403166800737381]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]], [[0.3039737045764923, 0.3039739429950714, 0.2849947214126587, 0.107057586312294], [0.30396443605422974, 0.30396464467048645, 0.2850164473056793, 0.1070544496178627], [0.40303388237953186, 0.40303319692611694, 0.052072662860155106, 0.14186027646064758], [0.403166800737381, 0.4031665623188019, 0.051838409155607224, 0.14182816445827484]]]","[0.403166800737381, 0.403166800737381]","[3, 3]","[0, 0]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]], [[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]]]","[0.40316712856292725, 0.40316712856292725]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]], [[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]]]","[0.40316712856292725, 0.40316712856292725]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]], [[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]]]","[0.40316712856292725, 0.40316712856292725]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]], [[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]]]","[0.40316712856292725, 0.40316712856292725]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]], [[0.30395758152008057, 0.30395838618278503, 0.2850313186645508, 0.10705269873142242], [0.30396589636802673, 0.30396661162376404, 0.2850123941898346, 0.10705511271953583], [0.4030343294143677, 0.4030327796936035, 0.05207259580492973, 0.1418602466583252], [0.40316712856292725, 0.4031665325164795, 0.05183826759457588, 0.14182806015014648]]]","[0.40316712856292725, 0.40316712856292725]","[3, 3]","[0, 0]"
