transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5311318635940552, 0.1542212814092636, 0.2923566699028015, 0.022290125489234924], [0.47604164481163025, 0.16623595356941223, 0.2637592554092407, 0.09396310895681381], [0.8129609227180481, 0.17615726590156555, 0.009141973219811916, 0.0017398976488038898], [0.3932998776435852, 0.5751268267631531, 0.01828274503350258, 0.013290556147694588]], [[0.2798283100128174, 0.4058794379234314, 0.26638826727867126, 0.04790398105978966], [0.23605991899967194, 0.4008578956127167, 0.24826715886592865, 0.11481506377458572], [0.6070521473884583, 0.329387903213501, 0.0014401889638975263, 0.06211975961923599], [0.141957089304924, 0.8522799611091614, 3.390183701412752e-05, 0.005728982854634523]]]","[0.8129609227180481, 0.8522799611091614]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5311318635940552, 0.1542212814092636, 0.2923566699028015, 0.022290125489234924], [0.47604164481163025, 0.16623595356941223, 0.2637592554092407, 0.09396310895681381], [0.8129609227180481, 0.17615726590156555, 0.009141973219811916, 0.0017398976488038898], [0.3932998776435852, 0.5751268267631531, 0.01828274503350258, 0.013290556147694588]], [[0.2798283100128174, 0.4058794379234314, 0.26638826727867126, 0.04790398105978966], [0.23605991899967194, 0.4008578956127167, 0.24826715886592865, 0.11481506377458572], [0.6070521473884583, 0.329387903213501, 0.0014401889638975263, 0.06211975961923599], [0.141957089304924, 0.8522799611091614, 3.390183701412752e-05, 0.005728982854634523]]]","[0.8129609227180481, 0.8522799611091614]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5311318635940552, 0.1542212814092636, 0.2923566699028015, 0.022290125489234924], [0.47604164481163025, 0.16623595356941223, 0.2637592554092407, 0.09396310895681381], [0.8129609227180481, 0.17615726590156555, 0.009141973219811916, 0.0017398976488038898], [0.3932998776435852, 0.5751268267631531, 0.01828274503350258, 0.013290556147694588]], [[0.2798283100128174, 0.4058794379234314, 0.26638826727867126, 0.04790398105978966], [0.23605991899967194, 0.4008578956127167, 0.24826715886592865, 0.11481506377458572], [0.6070521473884583, 0.329387903213501, 0.0014401889638975263, 0.06211975961923599], [0.141957089304924, 0.8522799611091614, 3.390183701412752e-05, 0.005728982854634523]]]","[0.8129609227180481, 0.8522799611091614]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5311318635940552, 0.1542212814092636, 0.2923566699028015, 0.022290125489234924], [0.47604164481163025, 0.16623595356941223, 0.2637592554092407, 0.09396310895681381], [0.8129609227180481, 0.17615726590156555, 0.009141973219811916, 0.0017398976488038898], [0.3932998776435852, 0.5751268267631531, 0.01828274503350258, 0.013290556147694588]], [[0.2798283100128174, 0.4058794379234314, 0.26638826727867126, 0.04790398105978966], [0.23605991899967194, 0.4008578956127167, 0.24826715886592865, 0.11481506377458572], [0.6070521473884583, 0.329387903213501, 0.0014401889638975263, 0.06211975961923599], [0.141957089304924, 0.8522799611091614, 3.390183701412752e-05, 0.005728982854634523]]]","[0.8129609227180481, 0.8522799611091614]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2496223896741867, 0.5355678200721741, 0.13740235567092896, 0.07740744203329086], [0.17879992723464966, 0.46135613322257996, 0.09906724095344543, 0.2607766389846802], [0.380493700504303, 0.6092103719711304, 0.0042787580750882626, 0.006017144303768873], [0.08263589441776276, 0.8928890824317932, 0.0038413703441619873, 0.020633690059185028]], [[0.07878569513559341, 0.8443872928619385, 0.07500163465738297, 0.0018253164598718286], [0.06818939745426178, 0.8556064963340759, 0.07171563804149628, 0.004488534759730101], [0.1989835649728775, 0.7977885603904724, 0.00047207463649101555, 0.00275570061057806], [0.022041961550712585, 0.9778323769569397, 5.264006176730618e-06, 0.0001203876527142711]]]","[0.8928890824317932, 0.9778323769569397]","[3, 3]","[1, 1]"
